>> bcancer
Result: 0.000000% (  0/171)>>
>> [guess_Y real_Y]
ans =

   1   0
   1   0
   0   1
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   0   1
   1   0
   1   0
   1   0
   1   0
   0   0
   0   1
   1   0
   1   0
   0   1
   1   0
   1   0
   1   0
   0   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   0   1
   1   0
   0   1
   0   1
   1   0
   0   1
   1   0
   1   0
   1   0
   1   0
   1   0
   0   1
   1   0
   1   0
   0   1
   1   0
   0   1
   1   0
   1   0
   0   1
   1   0
   0   1
   1   0
   1   0
   1   0
   0   0
   0   0
   1   0
   1   0
   1   0
   0   1
   0   1
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   0   1
   0   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   0   0
   1   0
   1   0
   0   1
   1   0
   1   0
   1   0
   1   0
   0   0
   1   0
   1   0
   0   1
   1   0
   0   1
   1   0
   1   0
   0   1
   1   0
   1   0
   1   0
   1   0
   1   0
   0   1
   0   1
   1   0
   0   1
   1   0
   0   1
   1   0
   1   0
   1   0
   1   0
   1   0
   0   1
   1   0
   1   0
   0   1
   1   0
   0   1
   1   0
   0   1
   0   1
   0   0
   1   0
   1   0
   0   1
   1   0
   1   0
   1   0
   1   0
   0   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   0   1
   1   0
   0   1
   0   1
   0   0
   1   0
   1   0
   1   0
   0   0
   0   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   1   0
   0   0
   1   0
   0   1
   0   1
   0   1
   0   1
   0   1
   0   1
   1   0
